"flight_date","source","destination","price","currency","company","scrape_date"
"2023-03-12 13:40:00","OTP","BSL",599,"RON","WizzAir","2023-03-08"
"2023-03-12 13:40:00","OTP","BSL",869,"RON","WizzAir","2023-03-11"
"2023-03-12 13:40:00","OTP","BSL",869,"RON","WizzAir","2023-03-11"
"2023-03-12 13:55:00","OTP","MLA",399,"RON","WizzAir","2023-02-27"
"2023-03-12 15:55:00","BSL","OTP",100.99,"CHF","WizzAir","2023-03-08"
"2023-03-12 15:55:00","BSL","OTP",110.99,"CHF","WizzAir","2023-03-11"
"2023-03-12 15:55:00","BSL","OTP",110.99,"CHF","WizzAir","2023-03-11"
"2023-03-12 16:00:00","MLA","OTP",99.99,"EUR","WizzAir","2023-02-27"
"2023-03-12 17:15:00","BSL","OPO",72.9,"EUR","EasyJet","2023-02-27"
"2023-03-12 17:15:00","BSL","OPO",86.24,"EUR","EasyJet","2023-03-04"
"2023-03-12 17:15:00","BSL","OPO",89,"EUR","EasyJet","2023-03-08"
"2023-03-12 17:15:00","BSL","OPO",84.93,"EUR","EasyJet","2023-03-11"
"2023-03-12 19:05:00","AMS","BSL",157.42,"EUR","EasyJet","2023-02-27"
"2023-03-12 19:05:00","AMS","BSL",160.92,"EUR","EasyJet","2023-03-04"
"2023-03-12 19:05:00","AMS","BSL",181.92,"EUR","EasyJet","2023-03-08"
"2023-03-12 19:05:00","AMS","BSL",204.92,"EUR","EasyJet","2023-03-11"
"2023-03-12 20:50:00","BSL","AMS",29.57,"EUR","EasyJet","2023-02-27"
"2023-03-12 20:50:00","BSL","AMS",42.54,"EUR","EasyJet","2023-03-04"
"2023-03-12 20:50:00","BSL","AMS",42.66,"EUR","EasyJet","2023-03-08"
"2023-03-12 20:50:00","BSL","AMS",48.19,"EUR","EasyJet","2023-03-10"
"2023-03-13 06:30:00","OPO","BSL",57.49,"EUR","EasyJet","2023-02-27"
"2023-03-13 06:30:00","OPO","BSL",51.49,"EUR","EasyJet","2023-03-04"
"2023-03-13 06:30:00","OPO","BSL",70.99,"EUR","EasyJet","2023-03-08"
"2023-03-13 06:30:00","OPO","BSL",134.49,"EUR","EasyJet","2023-03-11"
"2023-03-13 06:45:00","BSL","AMS",26.04,"EUR","EasyJet","2023-02-27"
"2023-03-13 07:00:00","BSL","NCE",26.04,"EUR","EasyJet","2023-02-27"
"2023-03-13 07:00:00","BSL","LIS",86.5,"EUR","EasyJet","2023-02-27"
"2023-03-13 07:00:00","BSL","NCE",39.03,"EUR","EasyJet","2023-03-04"
"2023-03-13 07:00:00","BSL","LIS",105.33,"EUR","EasyJet","2023-03-04"
"2023-03-13 07:00:00","BSL","NCE",47.7,"EUR","EasyJet","2023-03-08"
"2023-03-13 07:00:00","BSL","LIS",109.15,"EUR","EasyJet","2023-03-08"
"2023-03-13 07:00:00","BSL","NCE",57.93,"EUR","EasyJet","2023-03-11"
"2023-03-13 07:00:00","BSL","LIS",140.98,"EUR","EasyJet","2023-03-11"
"2023-03-13 08:45:00","NCE","BSL",42.05,"EUR","EasyJet","2023-02-27"
"2023-03-13 08:45:00","NCE","BSL",48.05,"EUR","EasyJet","2023-03-04"
"2023-03-13 08:45:00","NCE","BSL",73.05,"EUR","EasyJet","2023-03-08"
"2023-03-13 08:50:00","AMS","BSL",56.42,"EUR","EasyJet","2023-02-27"
"2023-03-13 08:50:00","AMS","BSL",66.92,"EUR","EasyJet","2023-03-04"
"2023-03-13 08:50:00","AMS","BSL",80.42,"EUR","EasyJet","2023-03-08"
"2023-03-13 08:50:00","AMS","BSL",90.92,"EUR","EasyJet","2023-03-11"
